3.9698 	ERROR 	Plugin `psychopy-cedrus` entry point requires module `psychopy_cedrus`, but it cannot be imported.
6.5158 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
6.5170 	INFO 	Loaded monitor calibration from ['2024_04_21 12:03']
6.7193 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc29a28feb0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc29a28fe50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc29a28f910>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc29a933610>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.7194 	EXP 	window1: mouseVisible = True
6.7194 	EXP 	window1: backgroundImage = ''
6.7194 	EXP 	window1: backgroundFit = 'none'
6.7195 	EXP 	window1: mouseVisible = True
6.7197 	EXP 	window1: mouseVisible = True
6.7218 	EXP 	window1: mouseVisible = True
6.7223 	EXP 	window1: mouseVisible = True
6.7290 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7300 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7311 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7327 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7343 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7348 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7359 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7375 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7377 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7379 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7391 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7401 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7411 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7422 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7430 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7442 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.7453 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
