3.6481 	ERROR 	Plugin `psychopy-cedrus` entry point requires module `psychopy_cedrus`, but it cannot be imported.
5.6927 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
5.6935 	INFO 	Loaded monitor calibration from ['2024_04_21 12:03']
5.8798 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8ab16b3e20>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8ab16b3dc0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8ab16b3bb0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8a809e1610>, multiSample=False, name='window1', numSamples=2, pos=[464.0, 258.0], screen=0, size=array([2048, 1536]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.8799 	EXP 	window1: mouseVisible = True
5.8799 	EXP 	window1: backgroundImage = ''
5.8799 	EXP 	window1: backgroundFit = 'none'
5.8801 	EXP 	window1: mouseVisible = True
5.8802 	EXP 	window1: mouseVisible = True
5.8821 	EXP 	window1: mouseVisible = True
5.8826 	EXP 	window1: mouseVisible = True
5.8879 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8887 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8896 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8908 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8920 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8924 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8933 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8945 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8947 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8949 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8959 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8967 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8974 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8983 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8989 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8999 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.9007 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.9011 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.9015 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.9028 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.9031 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.9033 	DEBUG 	Uploading Texture Font fontname to graphics card
5.9067 	DEBUG 	Upload of Texture Font fontname complete
5.9091 	EXP 	window1: mouseVisible = True
5.9092 	EXP 	window1: mouseVisible = True
5.9098 	EXP 	window1: mouseVisible = True
5.9103 	EXP 	window1: mouseVisible = True
5.9144 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.9157 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.9169 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.9171 	DEBUG 	Uploading Texture Font fontname to graphics card
5.9193 	DEBUG 	Upload of Texture Font fontname complete
5.9220 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.9220 	EXP 	window1: recordFrameIntervals = False
6.1150 	EXP 	window1: recordFrameIntervals = True
6.9484 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

6.9485 	EXP 	window1: mouseVisible = False
6.9489 	EXP 	window1: mouseVisible = True
6.9491 	EXP 	window1: mouseVisible = True
6.9500 	EXP 	window1: mouseVisible = True
6.9509 	EXP 	window1: mouseVisible = True
